,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,46.4,57.0,75.0,33.38,AR,1615671920.0
1,saskylakh,71.9167,114.0833,-10.23,98.0,42.0,4.72,RU,1615671928.0
2,baft,29.234,56.6057,47.35,66.0,0.0,2.21,IR,1615671967.0
3,eyl,7.9803,49.8164,77.56,86.0,81.0,12.17,SO,1615671967.0
4,bouar,5.934,15.596,70.43,73.0,97.0,4.03,CF,1615671968.0
5,la palma,33.8464,-118.0467,66.0,67.0,20.0,11.5,US,1615671968.0
6,port alfred,-33.5906,26.891,73.99,82.0,70.0,1.99,ZA,1615671867.0
7,mutoko,-17.397,32.2268,62.96,87.0,87.0,3.0,ZW,1615671969.0
8,kanye,-24.9667,25.3327,64.96,58.0,4.0,3.87,BW,1615671969.0
9,jamestown,42.097,-79.2353,37.4,32.0,1.0,10.94,US,1615671921.0
10,tiznit,29.5833,-9.5,63.77,61.0,45.0,1.74,MA,1615671971.0
11,hilo,19.7297,-155.09,71.6,83.0,90.0,10.36,US,1615671924.0
12,fallon,39.4735,-118.7774,55.4,14.0,1.0,5.75,US,1615671972.0
13,saint-philippe,-21.3585,55.7679,75.2,78.0,0.0,4.61,RE,1615671756.0
14,oksfjord,70.2396,22.3479,24.8,86.0,90.0,4.61,NO,1615671972.0
15,dikson,73.5069,80.5464,-21.84,96.0,100.0,16.64,RU,1615671936.0
16,chuy,-33.6971,-53.4616,65.8,69.0,11.0,8.52,UY,1615671972.0
17,rikitea,-23.1203,-134.9692,80.4,74.0,39.0,8.46,PF,1615671951.0
18,kapaa,22.0752,-159.319,72.0,94.0,90.0,26.46,US,1615671883.0
19,mataura,-46.1927,168.8643,66.0,60.0,2.0,8.01,NZ,1615671919.0
20,nikolskoye,59.7035,30.7861,36.0,87.0,75.0,6.71,RU,1615671905.0
21,busselton,-33.65,115.3333,50.0,94.0,0.0,11.65,AU,1615671975.0
22,kodiak,57.79,-152.4072,30.2,40.0,1.0,8.05,US,1615671945.0
23,beyneu,45.3167,55.2,23.38,45.0,0.0,8.01,KZ,1615671975.0
24,sola,-13.8833,167.55,82.4,83.0,75.0,10.8,VU,1615671976.0
25,vila franca do campo,37.7167,-25.4333,59.0,94.0,75.0,17.27,PT,1615671976.0
26,hobart,-42.8794,147.3294,48.2,66.0,20.0,12.66,AU,1615671941.0
27,cayambe,0.05,-78.1333,55.4,94.0,90.0,6.91,EC,1615671977.0
28,vaini,-21.2,-175.2,77.0,88.0,40.0,9.22,TO,1615671874.0
29,meulaboh,4.1363,96.1285,75.83,83.0,100.0,3.33,ID,1615671978.0
30,plouzane,48.3833,-4.6167,44.6,70.0,40.0,11.5,FR,1615671979.0
31,antalaha,-14.9003,50.2788,74.21,84.0,87.0,7.47,MG,1615671685.0
32,guerrero negro,27.9769,-114.0611,62.71,46.0,0.0,18.92,MX,1615671978.0
33,cidreira,-30.1811,-50.2056,74.16,83.0,4.0,10.18,BR,1615671880.0
34,sampit,-2.5333,112.95,73.02,98.0,51.0,1.79,ID,1615671981.0
